诸星团,모로보시 단
乡秀树,고우 히데키
北斗星司,호쿠토 세이지
南夕子,미나미 유코
凤源,오오토리 겐
,
高山我梦,타카야마 가무
藤宫博也,후지미야 히로야
,
日比野未来,히비노 미라이
相原龙,아이하라 류
迫水真吾,사코미즈 신고
风间真理奈,카자마 마리나
天谷木之美,아마가이 코노미
斑鸠乔治,이카루가 죠지
久赖哲平,쿠제 텟페이
芹泽和也,세리가와 카즈야
,
礼堂光,라이도 히카루
翔,쇼우
石动美铃,이스루기 미스즈
一条寺友也,이치죠지 토모야
玛娜,마나
杉田亚里沙,스기타 아리사
,
大空大地,오오조라 다이치
山濑明日奈,야마세 아스나
,
御言,미코토
立花,릿카
碧兰琪,비란키
姆鲁娜乌,무르나우
萨迪斯,사데스
索尔提,쇼티
娜塔莎,나타샤
松户森,마츠도 신
,
佩嘉,페가
莱姆,렘
鸟羽,토바
来叶,라이하
爱崎萌亚,아이자키 모아
石刈亚璃依,이시카리 아리에
,
凑活海,미나토 카츠미
活海,카츠미
凑勇海,미나토 이사미
勇海,이사미
凑朝阳,미나토 아사히
朝阳,아사히
美剑沙姬,미츠루기 사키
爱染诚,아이젠 마코토
切雷萨,체레자
,
工藤优幸,쿠도 히로유키
雾崎,키리사키
宗谷誉,소우야 호마레
旭川美利花,아사히카와 피리카
佐佐木加奈,사사키 카나
,
镝木慎也,카부라기 신야
栗山,쿠리야마
贝利亚黄昏,베리아로크
,
真中剑悟,마나카 켄고
静间结名,시즈마 유나
圣彰人,히지리 아키토
马露鲁,마루루
伊格尼斯,이그니스
,
明日见奏大,아스미 카나타
桐野唯千夏,키리노 이치카
龙门创守,류몬 소우마
朝影悠一郎,아사카게 유이치로
阿加慕斯,아가무스
电脑友机,하네지로
德凯明日见,데커 아스미
,
比留间弦人,히루마 겐토
苍边惠美,아오베 에미
坂藤泰信,반도 야스노부
美南杏梨,미나미 안리
名仓辉明,나구라 테루아키
榛野烈,하루노 레츠
,
飞世优马,히제 유마
石堂柊,이시도 슈
夏目凛,나츠메 린
伴博志,반 히로시
,
大木田宙人,오오키다 소라토
星见光成,호시미 코세이
一道步,이치도 아유무
宇多咲幸,우타 사유키
